主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,令和6年度予算額,前年度予算額(千円),比較増△減額(千円)
防衛省,5,2,03,19,雑収入,納付金,雑納付金,独立行政法人駐留軍等労働者労務管理機構納付金,49236,90324,-41088
防衛省,5,3,05,01,雑収入,諸収入,授業料及入学検定料,授業料,2517,4075,-1558
防衛省,5,3,07,01,雑収入,諸収入,受託調査試験及役務収入,受託調査及試験収入,28122,32204,-4082
防衛省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,4778559,4584377,194182
防衛省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,25472280,21327025,4145255
防衛省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,2089132,1557504,531628
防衛省,5,3,11,05,雑収入,諸収入,物品売払収入,返還物品売払代,104621,97936,6685
防衛省,5,3,11,06,雑収入,諸収入,物品売払収入,残飯売払代,15,73,-58
防衛省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,95781,72605,23176
防衛省,5,3,99,04,雑収入,諸収入,雑入,延滞金,8960,10757,-1797
防衛省,5,3,99,07,雑収入,諸収入,雑入,給食費受入,2655649,2423829,231820
防衛省,5,3,99,99,雑収入,諸収入,雑入,雑収,535206,477634,57572
