主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,平成24年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
総務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,1147259,674793,472466
総務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,4118,3722,396
総務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,1108583,936413,172170
総務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,11587,3668,7919
総務省,5,3,15,01,雑収入,諸収入,電波利用料収入,電波利用料収入,71584374,71825028,-240654
総務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,15414,46728,-31314
総務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,5182,4033,1149
総務省,5,3,99,99,雑収入,諸収入,雑入,雑収,177148,698757,-521609
法務省,4,2,01,10,政府資産整理収入,回収金等収入,特別会計整理収入,登記特別会計整理収入,0,11151194,-11151194
法務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,200247,172167,28080
法務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,144432,141664,2768
法務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,381221,401423,-20202
法務省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,227,60,167
法務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,41255426,37891806,3363620
法務省,5,3,08,02,雑収入,諸収入,懲罰及没収金,過料,955324,1050744,-95420
法務省,5,3,08,03,雑収入,諸収入,懲罰及没収金,没収金,1292181,1037638,254543
法務省,5,3,08,01,雑収入,諸収入,懲罰及没収金,罰金及科料,57904722,63189821,-5285099
法務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,661810,627104,34706
法務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,472919,619925,-147006
